Date,BKR_Open,BKR_Close,BKR_Volume,CVX_Open,CVX_Close,CVX_Volume,HAL_Open,HAL_Close,HAL_Volume,SLB_Open,SLB_Close,SLB_Volume,CTRA_Open,CTRA_Close,CTRA_Volume,Dias
2000-01-03,10.341514984766642,9.546013832092285,1468700,17.979544583992038,17.508464813232422,4387600,14.07274959682446,13.333223342895508,3490800,17.8704179106312,17.649547576904297,7239800,0.984161655951838,0.9075729846954346,1306800,Lunes
2000-01-04,9.457624815128467,9.546013832092285,2082300,17.364523772166983,17.508464813232422,3702400,13.072208481949644,13.398469924926758,4968200,17.32828146198629,17.408597946166992,7963000,0.8999136236913966,0.8807669878005981,334800,Martes
2000-01-05,9.604936599731445,9.604936599731445,1833700,17.39068870292361,17.822511672973633,5567600,13.050458548631651,12.811200141906738,7524600,17.368444442749023,17.368444442749023,4826200,0.8731081944245558,0.896084725856781,363600,Miercoles
2000-01-06,9.752251670474099,10.518289566040039,2234700,17.861778480905883,18.581483840942383,4353400,12.811204810710366,13.333223342895508,8868600,17.46884463669418,18.553117752075195,8005000,0.8922555310775965,0.9152320623397827,538800,Jueves
2000-01-07,10.724528195038243,11.225399017333984,2810600,18.843183576854457,18.908611297607422,4487400,13.659484160111248,14.159751892089844,8737400,18.773978321509205,18.894453048706055,7368600,0.9152321505285091,0.9535261392593384,388800,Viernes
2000-01-10,11.25486418354479,10.871845245361328,2274100,18.856273337753535,18.398279190063477,2104800,14.377262371826172,13.594234466552734,5440000,18.874377361096833,19.07516860961914,5301600,0.9611852422651735,0.9190613627433777,766800,Lunes
2000-01-11,11.195941540543533,11.107552528381348,2001100,18.398284462999285,18.228172302246094,2791200,13.724738338847219,14.094501495361328,5752000,19.135401031919308,19.456666946411133,5525600,0.9152320145597502,0.8845964074134827,723600,Martes
2000-01-12,10.871845936775207,10.60667896270752,1358000,18.228168447697882,18.16274070739746,2992600,13.92049524168305,13.137467384338379,5840600,19.296038465489808,19.014930725097656,4767600,0.8845965418976154,0.8692790865898132,547200,Miercoles
2000-01-13,10.60667896270752,10.60667896270752,1534800,18.110393341739716,18.332847595214844,3253400,13.333222710229213,13.311471939086914,7705200,19.07516328705899,19.55706214904785,4431000,0.8731081485748291,0.8731081485748291,1940400,Jueves
2000-01-14,10.636143126330532,10.724532127380371,1824700,17.966460528044866,18.215085983276367,3673000,13.398482942503893,13.420233726501465,7083000,19.657458859730543,19.757854461669922,4340400,0.8731078428601476,0.8884252905845642,1100400,Viernes
